,B,PC,T,efficiencyLB
0,0.04070631970261201,0.022862453531603977,100,0.5616438356164377
1,0.09646840148701184,0.07806691449815999,200,0.809248554913296
2,0.15223048327141142,0.1304832713754956,300,0.8571428571428578
3,0.3195167286246101,0.2960966542751623,600,0.9267015706806284
4,0.4805452292442305,0.458921933085609,900,0.9550025786487796
