,B,PC,T,efficiencyLB
0,0.037070473396161006,0.008237882976948994,100,0.22222222222287843
1,0.08785194380186125,0.019522654178248985,200,0.22222222222287785
2,0.13863341420756148,0.030807425379548975,300,0.22222222222287769
3,0.29097782542466,0.06454889127143697,600,0.2218343998455304
4,0.4433222366417524,0.0987417480113628,900,0.2227313223883145
