,B,PC,T,efficiencyLB
0,0.037070473396161006,0.021328217570394,100,0.5753424657534245
1,0.08785194380186125,0.07160187327203717,200,0.8150289017341037
2,0.13863341420756148,0.12238334367773741,300,0.8827838827838828
3,0.29097782542466,0.27371212548672286,600,0.9406631762652733
4,0.4433222366417524,0.42453309259164435,900,0.9576174112256599
